typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20220101","2022","52","2022","842","USA","USA","M","Import","156","CHN","China","0","W00","World","H6","HS","true","294130","Antibiotics; tetracyclines and their derivatives; salts thereof","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1031378.75","false","15","g","1031378750","false","1031378.75","false","0","false","30184905","29363446","30184905","0","true","false",
"C","A","20220101","2022","52","2022","842","USA","USA","M","Import","699","IND","India","0","W00","World","H6","HS","true","294130","Antibiotics; tetracyclines and their derivatives; salts thereof","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1043.376","true","15","g","980952","false","1043.376","true","0","false","253078","242726","253078","6","true","false",
"C","A","20220101","2022","52","2022","842","USA","USA","M","Import","0","W00","World","0","W00","World","H6","HS","true","294150","Antibiotics; erythromycin and its derivatives; salts thereof","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","15","g","61277691","false",,"false","0","false","14083944","13936716","14083944","0","false","true",
"C","A","20220101","2022","52","2022","842","USA","USA","M","Import","156","CHN","China","0","W00","World","H6","HS","true","294150","Antibiotics; erythromycin and its derivatives; salts thereof","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","21931.177","false","15","g","21931177","false","21931.177","false","0","false","3521865","3467438","3521865","0","true","false",
"C","A","20220101","2022","52","2022","842","USA","USA","M","Import","699","IND","India","0","W00","World","H6","HS","true","294150","Antibiotics; erythromycin and its derivatives; salts thereof","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","11426.253","true","15","g","11326079","false","11426.253","true","0","false","2852195","2805298","2852195","6","true","false",
"C","A","20220101","2022","52","2022","842","USA","USA","M","Import","0","W00","World","0","W00","World","H6","HS","true","294190","Antibiotics; n.e.c. in heading no. 2941","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1701087","false","8","kg","1701087","false","1701087","false","0","false","564986168","560370743","564986168","0","false","true",
"C","A","20220101","2022","52","2022","842","USA","USA","M","Import","156","CHN","China","0","W00","World","H6","HS","true","294190","Antibiotics; n.e.c. in heading no. 2941","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","882399","false","8","kg","882399","false","882399","false","0","false","108905581","106724407","108905581","0","true","false",
"C","A","20220101","2022","52","2022","842","USA","USA","M","Import","699","IND","India","0","W00","World","H6","HS","true","294190","Antibiotics; n.e.c. in heading no. 2941","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","181259","false","8","kg","181259","false","181259","false","0","false","36944243","36673615","36944243","0","true","false",
"C","A","20230101","2023","52","2023","842","USA","USA","M","Import","0","W00","World","0","W00","World","H6","HS","true","294110","Antibiotics; penicillins and their derivatives with a penicillanic acid structure; salts thereof","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1427731","false","8","kg","1427731","false","1427731","false","0","false","61167305","60201145","61167305","0","false","true",
"C","A","20230101","2023","52","2023","842","USA","USA","M","Import","156","CHN","China","0","W00","World","H6","HS","true","294110","Antibiotics; penicillins and their derivatives with a penicillanic acid structure; salts thereof","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","211215","false","8","kg","211215","false","211215","false","0","false","18042217","17855438","18042217","0","true","false",
"C","A","20230101","2023","52","2023","842","USA","USA","M","Import","699","IND","India","0","W00","World","H6","HS","true","294110","Antibiotics; penicillins and their derivatives with a penicillanic acid structure; salts thereof","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3328","false","8","kg","3328","false","3328","false","0","false","266897","256464","266897","0","true","false",
